Date,Description,Amount,Type
2026-01-01,Sales Revenue IMPS,500000.00,Credit
2026-01-05,Office Rent Lease,120000.00,Debit
2026-01-10,Salary Payment,250000.00,Debit
2026-01-15,Amazon AWS Cloud,35000.00,Debit
2026-01-20,Client NEFT Payment,350000.00,Credit
2026-01-25,General Expense PhonePe,15000.00,Debit
2026-02-01,Sales Revenue IMPS,520000.00,Credit
2026-02-05,Office Rent Lease,120000.00,Debit
2026-02-10,Salary Payment,250000.00,Debit
2026-02-15,Amazon AWS Cloud,37000.00,Debit
2026-02-20,Client NEFT Payment,400000.00,Credit
2026-02-25,General Expense Paytm,12000.00,Debit
2026-03-01,Sales Revenue IMPS,480000.00,Credit
2026-03-05,Office Rent Lease,120000.00,Debit
2026-03-10,Salary Payment,260000.00,Debit
2026-03-15,Amazon AWS Cloud,42000.00,Debit
2026-03-20,Client NEFT Payment,380000.00,Credit
2026-03-25,General Expense UPI,18000.00,Debit
